frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
389,12976.9,10,294,754,,,,,,,,,,,,,,,
390,13009.1,10,290,768,,,,,,,,,,,,,,,
391,13050.5,10,287,782,,,,,,,,,,,,,,,
392,13076.5,10,283,797,,,,,,,,,,,,,,,
393,13108.7,10,280,813,,,,,,,,,,,,,,,
394,13144.9,10,277,829,,,,,,,,,,,,,,,
395,13176.6,10,274,846,,,,,,,,,,,,,,,
396,13208.9,10,270,863,,,,,,,,,,,,,,,
397,13244.7,10,268,881,,,,,,,,,,,,,,,
398,13276.7,10,264,900,,,,,,,,,,,,,,,
399,13312.9,10,261,919,,,,,,,,,,,,,,,
400,13344.6,10,258,938,,,,,,,,,,,,,,,
401,13376.8,10,255,958,,,,,,,,,,,,,,,
402,13412.7,10,252,978,,,,,,,,,,,,,,,
403,13444.7,10,249,998,,,,,,,,,,,,,,,
404,13476.6,10,246,993,,,,,,,,,,,,,,,
405,13513.0,10,244,980,,,,,,,,,,,,,,,
406,13544.5,10,241,969,,,,,,,,,,,,,,,
407,13576.5,10,238,958,,,,,,,,,,,,,,,
408,13612.6,10,235,948,,,,,,,,,,,,,,,
409,13644.7,10,232,938,,,,,,,,,,,,,,,
410,13676.7,10,229,928,,,,,,,,,,,,,,,
411,13712.6,10,226,919,,,,,,,,,,,,,,,
412,13744.7,10,223,911,,,,,,,,,,,,,,,
413,13777.2,10,220,902,,,,,,,,,,,,,,,
414,13814.9,10,217,895,,,,,,,,,,,,,,,
415,13845.9,10,215,888,,,,,,,,,,,,,,,
416,13884.6,10,211,881,,,,,,,,,,,,,,,
417,13918.6,10,208,875,,,,,,,,,,,,,,,
418,13944.7,10,205,869,,,,,,,,,,,,,,,
419,13976.9,10,203,864,,,,,,,,,,,,,,,
420,14012.8,10,199,860,,,,,,,,,,,,,,,
421,14044.7,10,197,855,,,,,,,,,,,,,,,
422,14076.9,10,193,852,,,,,,,,,,,,,,,
423,14112.6,10,191,849,,,,,,,,,,,,,,,
424,14144.8,10,188,847,,,,,,,,,,,,,,,
425,14176.8,10,185,845,,,,,,,,,,,,,,,
426,14212.6,10,182,843,,,,,,,,,,,,,,,
427,14246.7,10,179,842,,,,,,,,,,,,,,,
428,14276.7,10,176,842,,,,,,,,,,,,,,,
429,14312.8,10,173,842,,,,,,,,,,,,,,,
430,14345.0,10,170,843,,,,,,,,,,,,,,,
431,14378.1,10,167,844,,,,,,,,,,,,,,,
432,14412.5,10,164,846,,,,,,,,,,,,,,,
433,14444.8,10,162,848,,,,,,,,,,,,,,,
434,14478.7,10,159,852,,,,,,,,,,,,,,,
435,14512.6,10,156,855,,,,,,,,,,,,,,,
436,14544.7,10,153,859,,,,,,,,,,,,,,,
437,14576.7,10,150,864,,,,,,,,,,,,,,,
438,14612.5,10,147,869,,,,,,,,,,,,,,,
439,14644.4,10,144,875,,,,,,,,,,,,,,,
440,14676.7,10,142,881,,,,,,,,,,,,,,,
441,14712.7,10,139,887,,,,,,,,,,,,,,,
442,14744.8,10,136,895,,,,,,,,,,,,,,,
443,14776.8,10,134,903,,,,,,,,,,,,,,,
444,14812.7,10,131,911,,,,,,,,,,,,,,,
445,14846.6,10,129,920,,,,,,,,,,,,,,,
