frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
291,9777.9,10,992,273,,,,,,,9,533,802,,,,,,,,,,,,,,,
292,9809.9,10,990,284,,,,,,,9,528,810,,,,,,,,,,,,,,,
293,9842.6,10,989,294,,,,,,,9,525,817,,,,,,,,,,,,,,,
294,9878.0,10,985,298,,,,,,,9,524,819,,,,,,,,,,,,,,,
295,9909.9,10,984,298,,,,,,,10,523,820,,,,,,,,,,,,,,,
296,9944.0,10,982,297,,,,,,,9,521,819,,,,,,,,,,,,,,,
297,9978.7,10,975,295,,,,,,,9,517,819,,,,,,,,,,,,,,,
298,10010.3,10,968,292,,,,,,,9,509,816,,,,,,,,,,,,,,,
299,10042.3,10,958,287,,,,,,,9,500,812,,,,,,,,,,,,,,,
300,10081.9,10,946,280,,,,,,,9,491,806,,,,,,,,,,,,,,,
301,10110.2,10,934,270,,,,,,,8,482,797,,,,,,,,,,,,,,,
302,10142.2,10,919,256,,,,,,,9,472,786,,,,,,,,,,,,,,,
303,10177.9,10,905,241,,,,,,,8,460,773,,,,,,,,,,,,,,,
304,10210.3,10,889,226,,,,,,,7,446,761,,,,,,,,,,,,,,,
305,10242.0,10,874,214,,,,,,,7,431,748,,,,,,,,,,,,,,,
306,10278.0,10,861,202,,,,,,,7,417,735,,,,,,,,,,,,,,,
307,10310.5,10,848,190,,,,,,,8,400,722,,,,,,,,,,,,,,,
308,10342.2,10,835,181,,,,,,,7,383,708,,,,,,,,,,,,,,,
309,10378.1,10,823,172,,,,,,,8,366,695,,,,,,,,,,,,,,,
310,10410.0,10,813,165,,,,,,,8,348,681,,,,,,,,,,,,,,,
311,10448.8,10,803,158,,,,,,,8,332,669,,,,,,,,,,,,,,,
312,10479.3,10,794,152,,,,,,,8,318,657,,,,,,,,,,,,,,,
