frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
1733,57775.3,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,13,817,531,89.00965172884457,57.850826276641946,-26.171579285819472,4.918758385486771,-44.93199575832164,54.77382678647353,15,893,606,97.28961933152779,66.02184693718459,-3.8123718199954,-6.54016840512647,10.714720698068497,-0.32733362621729656,14,944,952,102.8459133806968,103.71748891782134,0.5477404500888895,0.0,10.93294311554622,0.0
1734,57810.7,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,14,808,533,88.02912924957946,58.068720160923085,-26.663373790304057,5.979619726808983,-9.808493233487933,32.37997600121108,16,892,604,97.18067238938723,65.80395305290345,-3.265169190180974,-6.53033838036202,0.13034542503291002,0.26069085006723136,15,944,952,102.8459133806968,103.71748891782134,0.5420202688558398,0.0,10.85125663375118,0.0
1735,57842.9,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,14,799,536,87.04860677031434,58.39556098734479,-26.27581139235331,6.429607384249783,20.92036544869676,-2.545207665861688,16,891,601,97.07172544724666,65.47711222648175,-3.7721855474791472,-5.915388008895759,12.012138618175744,12.860541173465954,14,944,952,102.8459133806968,103.71748891782134,0.0,0.55738185535424,0.0,-10.739534785245926
1736,57875.0,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,13,791,538,86.1770312331898,58.613454871625926,-27.732824774123507,7.611442867166796,13.613129393144366,-0.7580899423390264,16,890,600,96.96277850510609,65.36816528434119,-2.7237982105754432,-5.985845153646958,11.122262439744702,11.44715812931716,15,945,952,102.95486032283736,103.71748891782134,0.010851516031766264,-0.5382487324960005,-21.703032063532955,-10.797366750170834
1737,57911.0,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,14,783,540,85.30545569606524,58.831348755907065,-27.155269725963425,8.146580917789041,1.3753633387872819e-12,10.829619033285312,15,889,598,96.85383156296552,65.15027140006005,-2.7155269725963356,-5.431053945192671,10.829619033284606,21.659238066569213,14,945,952,102.95486032283736,103.71748891782134,0.0,-0.5431053945192387,-21.65923806656921,-10.829619033284605
1738,57946.7,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,13,775,542,84.4338801589407,59.049242640188204,-27.314100579344395,8.869979114857548,-40.925937452379365,49.56585758123485,16,888,596,96.74488462082495,64.93237751577891,-2.6851718688390265,-4.864134823307139,8.932248253503744,7.394818857144151,15,944,952,102.8459133806968,103.71748891782134,0.0,-0.5832725628632345,0.0,-11.238392348039675
1739,57975.7,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,14,766,545,83.45335767967558,59.376083466609906,-27.06085343088462,9.202303331731795,-0.2671245621828964,32.35412697441539,16,888,595,96.74488462082495,64.82343057363833,-2.1648682744707863,-4.328661105454224,-0.02136996497463307,21.466129818900928,14,944,951,102.8459133806968,103.60854197568078,-0.5406793468739872,-0.5406793468739872,10.749092383180036,10.749092383180036
1740,58011.3,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,14,758,548,82.58178214255103,59.702924293031614,-26.637691317047786,10.332576854776192,10.320606359233349,32.75953225259877,15,887,594,96.63593767868439,64.71448363149777,-1.6298603708291735,-3.8044543661524846,10.818767841433848,10.775449451678822,14,944,951,102.8459133806968,103.60854197568078,0.0021702513267976855,-0.5425633731674112,21.70251326750236,10.840427036312072
1741,58043.4,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,14,749,552,81.60125966328592,60.138712061593885,-26.66482763087107,11.078455019091509,54.35454031635657,-3.8890033054570146,15,886,592,96.52699073654381,64.49658974721663,-1.1461132944348669,-3.3618042982531904,22.899366522175495,23.67716718326705,15,944,951,102.8459133806968,103.60854197568078,0.0,-0.03826779252570252,0.0,22.510466191628247
1742,58076.3,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,13,741,555,80.72968412616136,60.465552888015594,-25.065487532064044,11.46610271425107,39.93642672561163,12.651824964334995,16,886,592,96.52699073654381,64.49658974721663,-1.0748371031825494,-2.1660663091681522,21.6919697917773,21.527802512827638,15,944,951,102.8459133806968,103.60854197568078,0.0,0.0,0.0,0.0
1743,58111.4,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,13,734,559,79.96705553117738,60.90134065657787,-23.427236563767103,11.443567212102929,53.8243437562656,-10.561922715600645,15,886,591,96.52699073654381,64.38764280507607,-0.5433738260553627,-1.6301214781659463,10.88925503117007,32.66776509350737,15,945,951,102.95486032283736,103.60854197568078,-0.0032716864941160066,0.5466455125494077,-21.81124329389424,10.92198826272559
1744,58143.5,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,13,727,562,79.2044269361934,61.228181482999574,-20.72931551433831,9.822376677408169,64.23711036362046,-21.207467057846856,15,886,590,96.52699073654381,64.27869586293549,0.0,-0.534616424547143,0.0,32.8101030206508,14,944,952,102.8459133806968,103.71748891782134,0.0,-0.0076646552138078545,0.0,-21.89901489668529
1745,58175.4,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,13,720,566,78.44179834120942,61.66396925156185,-17.560494098720998,9.32746650974992,111.52660926516842,-55.8129996263164,16,886,591,96.52699073654381,64.38764280507607,0.0,-1.0944389207788412,0.0,0.09938998746149635,15,944,951,102.8459133806968,103.60854197568078,0.0,0.0,0.0,0.0
1746,58211.2,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,13,715,569,77.89706363050658,61.990810077983554,-14.733255346881839,7.096576603660366,120.40373674244465,-76.55211753375309,15,886,591,96.52699073654381,64.38764280507607,-0.5433738260552325,0.0,-10.889255031167464,0.0,15,944,952,102.8459133806968,103.71748891782134,-0.5466455125494276,0.003271686494195133,10.921988262725192,-21.811243293892655
